id,genre,track_name,artist_name,valence,energy
2tKKxF5LTNcSlVtrLSlaMD,acoustic,The General,DISPATCH,0.66,0.673
6vFUFJzXkbbW2YHWt3tIom,acoustic,Cowboys and Angels - Edit,Various Artists,0.403,0.639
2r07lezrHUPEuhhBYW9JnC,acoustic,World Spins Madly On,The Shirelles,0.337,0.361
3QAE7ypzhNZzQxOjKCGHD9,acoustic,"Nutshell - Live at the Majestic Theatre, Brooklyn, NY - April 1996",Alice In Chains,0.244,0.548
2UBRsk5jRJaGkpHtdEmOoe,acoustic,Eavesdrop - Alternate Version,The Civil Wars,0.27,0.212
53Pgsvu3qSYO2aXt5J2vcL,acoustic,Lego House,Ed Sheeran,0.565,0.637
0GNI8K3VATWBABQFAzBAYe,acoustic,Stay,Rihanna,0.125,0.31
4E6cwWJWZw2zWf7VFbH7wf,acoustic,Love Song,Sara Bareilles,0.573,0.786
25J4d78ESH2MgAJoIakB8O,acoustic,Lost In The Light,Bahamas,0.246,0.267
3zx0r0wtqxj6tlFL5PEWlq,acoustic,Unwritten (feat. Diamond White),Boyce Avenue,0.284,0.336
6MDTpYxPFL0wtFd0pjfKws,acoustic,Rhythm Of Love,Plain White T's,0.726,0.542
4JKHACLkotsxdKNF9vJYOS,acoustic,Nothing Arrived - Live from Spotify London,Villagers,0.42,0.415
45OfPYbQJEMq0kvKY5Yk4u,acoustic,Fall At Your Feet,Various Artists,0.141,0.512
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337
2ZQyksYO4zzhyHNcueL0CP,acoustic,Home,Phillip Phillips,0.293,0.792
14rApQTKycs9gNg7hjm9m7,acoustic,White Blank Page,Mumford & Sons,0.299,0.398
45wfuvqHkskwqJsgFzC0ti,acoustic,The Worrying Kind,Maia Hirasawa,0.274,0.209
2XpeEJgRYnKl41tJia9ggT,acoustic,Thought Of You,Justin Bieber,0.521,0.718
5bSPF76iSpI5p00BALV8uo,acoustic,"Daughters - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.407,0.38
46XMysg4VurmyAQ28tshqz,acoustic,The Mess I Made,Parachute,0.173,0.591
7zkLpY72g6lKQbiHDqri1S,acoustic,Sunrise,Norah Jones,0.679,0.299
2TdzUeMGoQNKZlQcqWqhtK,acoustic,Blue Liquid,Andy McKee,0.768,0.469
7pTjoqX8Jf6OIq0YvBtkEC,acoustic,Over the Rainbow,Various Artists,0.0985,0.21
4cNjkFy1U24mrlbdHcc2Vq,acoustic,Waterfalls,ortoPilot,0.837,0.532
1KzxgnTo2nKbuiTlJPKCjc,acoustic,Whisper the Answer,Gregory and the Hawk,0.249,0.372
1ZXSLHLp5AJnCp12UXdYiO,acoustic,Sex On Fire,Alex Cornell,0.0568,0.408
1DWbTRHEL2x9sZmdagh2Su,acoustic,Hometown Glory (Live at Hotel Cafe),Adele,0.181,0.353
7BzhqmRj3iOZXqMHqiifHr,acoustic,Heartbeats,Various Artists,0.316,0.15
4eiWWDbWczW2GLqg6Lyg48,acoustic,Cups,Lulu & The Lampshades,0.767,0.854
1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,Various Artists,0.297,0.299
2V2pxcEfn5zs79sE7qcewA,acoustic,Now And Forever,Richard Marx,0.172,0.258
1CbPLR6Xjo2nc0Pf13N0RS,acoustic,Pink Moon,Nick Drake,0.446,0.255
1e8e7hIST31biEls05NZzD,acoustic,Timshel,Mumford & Sons,0.0885,0.256
3k9qjgu8zVKTEuJVJIYyc0,acoustic,Just Breathe,Pearl Jam,0.302,0.349
2FeUZsmNGWc3No6v9GCdST,acoustic,"Piazza, New York Catcher",Belle and Sebastian,0.82,0.309
